"DateTime","Players"
"2020-06-04 00:00:00",455
"2020-06-05 00:00:00",1717
"2020-06-06 00:00:00",3097
"2020-06-07 00:00:00",4380
"2020-06-08 00:00:00",4530
"2020-06-09 00:00:00",4941
"2020-06-10 00:00:00",5094
"2020-06-11 00:00:00",5258
"2020-06-12 00:00:00",5260
"2020-06-13 00:00:00",5780
"2020-06-14 00:00:00",5880
"2020-06-15 00:00:00",4745
"2020-06-16 00:00:00",4660
"2020-06-17 00:00:00",4357
"2020-06-18 00:00:00",4109
"2020-06-19 00:00:00",4350
"2020-06-20 00:00:00",4843
"2020-06-21 00:00:00",5264
"2020-06-22 00:00:00",4359
"2020-06-23 00:00:00",4234
"2020-06-24 00:00:00",4268
"2020-06-25 00:00:00",4029
"2020-06-26 00:00:00",4240
"2020-06-27 00:00:00",5490
"2020-06-28 00:00:00",6408
"2020-06-29 00:00:00",5322
"2020-06-30 00:00:00",5296
"2020-07-01 00:00:00",5142
"2020-07-02 00:00:00",5098
"2020-07-03 00:00:00",5332
"2020-07-04 00:00:00",6058
"2020-07-05 00:00:00",6041
"2020-07-06 00:00:00",4961
"2020-07-07 00:00:00",4682
"2020-07-08 00:00:00",4830
"2020-07-09 00:00:00",4721
"2020-07-10 00:00:00",4550
"2020-07-11 00:00:00",4496
"2020-07-12 00:00:00",4221
"2020-07-13 00:00:00",3155
"2020-07-14 00:00:00",2913
"2020-07-15 00:00:00",2603
"2020-07-16 00:00:00",2428
"2020-07-17 00:00:00",2330
"2020-07-18 00:00:00",2584
"2020-07-19 00:00:00",2354
"2020-07-20 00:00:00",1850
"2020-07-21 00:00:00",1761
"2020-07-22 00:00:00",1636
"2020-07-23 00:00:00",1533
"2020-07-24 00:00:00",1559
"2020-07-25 00:00:00",1702
"2020-07-26 00:00:00",1778
"2020-07-27 00:00:00",1382
"2020-07-28 00:00:00",1379
"2020-07-29 00:00:00",1274
"2020-07-30 00:00:00",1172
"2020-07-31 00:00:00",1266
"2020-08-01 00:00:00",1313
"2020-08-02 00:00:00",1441
"2020-08-03 00:00:00",1159
"2020-08-04 00:00:00",1154
"2020-08-05 00:00:00",1012