"","Game","Stream time","Total watch time","Average viewers","Peak viewers","Followers","Followers per hour","Views","Views per hour"
"1","World of Warcraft|World_of_Warcraft|https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","84045","-1133331316","32535","263720","440462","314.44726","56896626","40618.687131"
"2","Dark Souls III|Dark_Souls_III|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls%20III-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","2160","55857180","25580","33108","11356","315.444444","1004352","27898.666666"
"3","The Witcher 3: Wild Hunt|The_Witcher_3_Wild_Hunt|https://static-cdn.jtvnw.net/ttv-boxart/./The%20Witcher%203:%20Wild%20Hunt-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","795","10361940","14317","28634","1972","148.830188","233645","17633.584905"
"4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","615","8748990","12457","30774","3013","293.951219","384381","37500.585365"
"5","Bloodborne|Bloodborne|https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","510","9548130","17819","27012","1311","154.235294","189766","22325.411764"
"6","Cuphead|Cuphead|https://static-cdn.jtvnw.net/ttv-boxart/Cuphead-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","480","11078235","22830","25578","2162","270.25","203221","25402.625"
"7","Apex Legends|apex_Legends|https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","465","7138065","15507","26438","1425","183.870967","186670","24086.451612"
"8","Dark Souls II: Scholar of the First Sin|Dark_Souls_II_Scholar_of_the_First_Sin|https://static-cdn.jtvnw.net/ttv-boxart/./Dark%20Souls%20II:%20Scholar%20of%20the%20First%20Sin-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","465","9234225","19362","23948","418","53.935483","220932","28507.354838"
"9","The Elder Scrolls Online|The_Elder_Scrolls_Online|https://static-cdn.jtvnw.net/ttv-boxart/The%20Elder%20Scrolls%20Online-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","465","12235005","24297","35705","2790","360","315771","40744.645161"
"10","Sekiro: Shadows Die Twice|Sekiro_Shadows_Die_Twice|https://static-cdn.jtvnw.net/ttv-boxart/./Sekiro:%20Shadows%20Die%20Twice-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","240","3754815","15645","18106","582","145.5","76330","19082.5"
"11","Unlisted on Twitch|Unlisted_On_Twitch|https://static-cdn.jtvnw.net/ttv-boxart/404_boxart.png?imenable=1&impolicy=user-profile-picture&imwidth=100","225","14240265","36985","104526","3373","899.466666","420349","112093.066666"
"12","Resident Evil 2|Resident_Evil_2_Remake_working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","3167490","9999","16984","477","127.2","56253","15000.8"
"13","Dark Souls|Dark_Souls|https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Souls-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","5424990","27820","30947","1076","331.076923","73287","22549.846153"
"14","PLAYERUNKNOWN'S BATTLEGROUNDS|PLAYERUNKNOWNS_BATTLEGROUNDS|https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","195","6296610","30186","36618","470","144.615384","68917","21205.230769"
"15","Fortnite|Fortnite|https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","9469560","63130","69407","1367","546.8","229540","91816"
"16","Hollow Knight|Hollow_Knight|https://static-cdn.jtvnw.net/ttv-boxart/Hollow%20Knight-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","150","2149695","14331","20216","300","120","62066","24826.4"
"17","Getting Over It|Getting_Over_It|https://static-cdn.jtvnw.net/ttv-boxart/Getting%20Over%20It-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","120","3149115","25749","29405","721","360.5","40583","20291.5"
"18","Metro Exodus|Metro_Exodus|https://static-cdn.jtvnw.net/ttv-boxart/Metro%20Exodus-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","75","868020","11573","12997","78","62.4","24755","19804"
"19","Special Events|Special_Events|https://static-cdn.jtvnw.net/ttv-boxart/Special%20Events-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","60","5500950","91682","100451","589","589","86173","86173"